Id,IsDeleted,MasterRecordId,Name,LastName,FirstName,Salutation,MiddleName,Suffix,Type,RecordTypeId,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,IsActive,EffectiveDate,EndDate,SourceSystemIdentifier,SourceSystemModifiedDate,PersonContactId,IsPersonAccount,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonMailingAddress,PersonMobilePhone,PersonHomePhone,PersonEmail,PersonTitle,PersonDepartment,PersonBirthdate,PersonLastCURequestDate,PersonLastCUUpdateDate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,PersonMaritalStatus,PersonGender,PersonDeceasedDate,PersonSequenceInMultipleBirth,Jigsaw,JigsawCompanyId,AccountSource,SicDesc,OperatingHoursId,HealthCloudGA__Active__c,HealthCloudGA__CarePlan__c,HealthCloudGA__Disabled__c,HealthCloudGA__EnrollmentType__c,HealthCloudGA__IndividualId__c,HealthCloudGA__IndividualType__c,HealthCloudGA__Institution__c,HealthCloudGA__LowIncome__c,HealthCloudGA__MedicaidEligibilityStatus__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__MedicareEnrollee__c,HealthCloudGA__OREC__c,HealthCloudGA__PayerType__c,HealthCloudGA__PrimaryContact__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TaxId__c,cern__HiIsActive__c,cern__HiMatchKey__c,cern__HiPopulationId__c,cern__HiTenantId__c,cern__HiUniqueId__c,cern__RecordTypeDeveloperName__c,VCC_Facility_Type__c,VCC_Mailing_different_from_Billing__c,VCC_Station_ID__c,VCC_Date_Patient_Verified__c,VCC_Latest_Call_Date__c,VCC_Veteran_Demographic_Alert__c,VCC_Veteran_Phone_Address_Verified__c,SSN_Last_4_Digits__c,VCC_Gender_Identity__c,cern__HiCohortId__c,SSN_Search__c,VCC_Primary_Facility__c,HealthCloudGA__Age__pc,HealthCloudGA__BirthDate__pc,HealthCloudGA__ConditionStatus__pc,HealthCloudGA__ConvertedReferrals__pc,HealthCloudGA__CountryOfBirth__pc,HealthCloudGA__CreatedFromLead__pc,HealthCloudGA__DeceasedDate__pc,HealthCloudGA__Gender__pc,HealthCloudGA__IndividualId__pc,HealthCloudGA__IndividualType__pc,HealthCloudGA__MedicalRecordNumber__pc,HealthCloudGA__Monitored_at_Home__pc,HealthCloudGA__PreferredName__pc,HealthCloudGA__PrimaryLanguage__pc,HealthCloudGA__ReferrerScore__pc,HealthCloudGA__SecondaryLanguage__pc,HealthCloudGA__SourceSystemId__pc,HealthCloudGA__SourceSystem__pc,HealthCloudGA__StatusGroup__pc,HealthCloudGA__Testing_Status__pc,HealthCloudGA__TotalReferrals__pc,cern__BestContactTime__pc,cern__CommunicationPreference__pc,cern__HiBusinessPhone__pc,cern__HiEthnicity__pc,cern__HiIsActive__pc,cern__HiIsDeceased__pc,cern__HiLanguage1__pc,cern__HiLanguage2__pc,cern__HiMaritalStatus__pc,cern__HiMatchKey__pc,cern__HiPopulationId__pc,cern__HiPrefix__pc,cern__HiRace__pc,cern__HiReligion__pc,cern__HiTenantId__pc,cern__HiUniqueId__pc,VCC_Date_of_Birth_Text__pc,VCC_Dual_Registration__pc,VCC_Emergency_Contact_Phone__pc,VCC_Emergency_Contact__pc,VCC_Enrolled__pc,VCC_MVI_External_Id__pc,VCC_Means_Test__pc,VCC_Member_ID__pc,VCC_Next_of_Kin_Phone__pc,VCC_Next_of_Kin__pc,VCC_Preferred_Gender_of_MSA__pc,VCC_Primary_Registered_Facility__pc,VCC_Priority_Group__pc,VCC_Secondary_Registered_Facility__pc,VCC_Service_Connected__pc,VCC_Suffix__pc,VCC_Telecare_Capable__pc,VCC_Temp_End_Date__pc,VCC_Temp_Notes__pc,VCC_Temp_Phone__pc,VCC_Temp_Start_Date__pc,cern__HiBirthSex__pc,VCC_Primary_Caregiver_Phone__pc,VCC_Primary_Caregiver__pc,VCC_Temp_Phone_End_Date__pc,VCC_Temp_Phone_Notes__pc,VCC_Temp_Phone_Start_Date__pc,VCC_Work_Phone__pc,vccProviderLoginSiteCode__pc,egaincrm__Languages__pc,egaincrm__Level__pc
,FALSE,,Person0 Smith0,Smith0,Person0,,M0,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/0,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM0,TRUE,0 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail0@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ0,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person1 Smith1,Smith1,Person1,,M1,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/1,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM1,TRUE,1 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail1@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ1,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person2 Smith2,Smith2,Person2,,M2,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/2,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM2,TRUE,2 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail2@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ2,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person3 Smith3,Smith3,Person3,,M3,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/3,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM3,TRUE,3 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail3@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ3,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person4 Smith4,Smith4,Person4,,M4,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/4,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM4,TRUE,4 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail4@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ4,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person5 Smith5,Smith5,Person5,,M5,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/5,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM5,TRUE,5 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail5@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ5,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person6 Smith6,Smith6,Person6,,M6,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/6,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM6,TRUE,6 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail6@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ6,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person7 Smith7,Smith7,Person7,,M7,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/7,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM7,TRUE,7 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail7@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ7,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person8 Smith8,Smith8,Person8,,M8,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/8,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM8,TRUE,8 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail8@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ8,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
,FALSE,,Person9 Smith9,Smith9,Person9,,M9,,,0123d0000004JLKAA2,,,,,,,,,,,,,,,,,,,,(111)111-1122,,,,/services/images/photo/9,,,,,,,,,,0053S000000IzGkQAK,,,,,,,,,FALSE,,,,,0033S000002qNTnQAM9,TRUE,9 Maple Avenue,Anytown,MD,99999-2233,UNITED STATES,,,,,,,fakeemail9@fake.com,,,2/6/55,,,,,,,,,,,,,,,,,FALSE,NonDual,0013S000003mKACQ9,Individual,FALSE,FALSE,FALSE,,,,,0033S000002qNTnQAM,921d0afb-48a6-4798-9676-195cb439e79b,db3994d7-5c1b-450e-b495-aabacea6e4ab,,TRUE,0013S000003mKACQA2,c7ccb8d9-bd41-4e87-93ed-9d9b6bea31b6,db3994d7-5c1b-450e-b495-aabacea6e4ab,921d0afb-48a6-4798-9676-195cb439e79b,PersonAccount,,FALSE,,,,"Verify Veteran Insurance",Primary Phone & Address are correct,,,,,,BLANK,52 Years,,,BLANK,United States,,BLANK,Male,0013S000003mKACQA21637170576139,,,,BLANK,,,English,921d0afb-48a6-4798-9676-195cb439e79b,,,,,,,,BLANK,TRUE,,,,BLANK,0013S000003mKACQA2,,,,BLANK,db3994d7-5c1b-450e-b495-aabacea6e4ab,,BLANK,,,BLANK,,,,,,,,,,BLANK,,BLANK,,,,,BLANK,,,,,,,,,
